Protein.Group,Markers,markers
P54265;Q3UU96;Q7TT50,unknown,unknown
P54310,unknown,unknown
P54320,unknown,unknown
P54726,unknown,unknown
P54726;P54728,unknown,unknown
P54728,unknown,unknown
P54729,unknown,unknown
P54731,unknown,unknown
P54761,unknown,unknown
P54775,PX_1,PX_1
P54797,unknown,unknown
P54822,unknown,unknown
P54823,unknown,unknown
P54923,unknown,unknown
P55002,unknown,unknown
P55012,unknown,unknown
P55065,unknown,unknown
P55096,PERO_1,PERO_1
P55258,unknown,unknown
P55258;P61027;P61028;Q8K386;Q9D1G1,unknown,unknown
P55258;P61028,unknown,unknown
P55264,unknown,unknown
P55284,unknown,unknown
P55292,unknown,unknown
P55302,unknown,unknown
P55772,unknown,unknown
P55937,unknown,unknown
P56135,unknown,unknown
P56212;P60840,unknown,unknown
P56213,unknown,unknown
P56371;Q91ZR1,unknown,unknown
P56375,unknown,unknown
P56376,unknown,unknown
P56379,unknown,unknown
P56380,unknown,unknown
P56382,unknown,unknown
P56383;P56384;Q9CR84,unknown,unknown
P56387,unknown,unknown
P56391,unknown,unknown
P56392,unknown,unknown
P56394,unknown,unknown
P56395,unknown,unknown
P56399,unknown,unknown
P56400,unknown,unknown
P56480,unknown,unknown
P56485,unknown,unknown
P56501,unknown,unknown
P56528,unknown,unknown
P56546,unknown,unknown
P56565,unknown,unknown
P56695,unknown,unknown
P56812,unknown,unknown
P56959,unknown,unknown
P57080,unknown,unknown
P57716,unknown,unknown
P57724,unknown,unknown
P57746,unknown,unknown
P57759,unknown,unknown
P57776,unknown,unknown
P57780,unknown,unknown
P57780;Q7TPR4,unknown,unknown
P57780;Q7TPR4;Q9JI91,unknown,unknown
P57780;Q9JI91,unknown,unknown
P57784,NU_2,NU_2
P58006,unknown,unknown
P58021,unknown,unknown
P58044,unknown,unknown
P58059,unknown,unknown
P58064,MITO_3,MITO_3
P58242,unknown,unknown
P58252,unknown,unknown
P58281,unknown,unknown
P58389,unknown,unknown
P58404,unknown,unknown
P58466,unknown,unknown
P58544,unknown,unknown
P58771,unknown,unknown
P58771;P58774,unknown,unknown
P58774,unknown,unknown
P58774;Q6IRU2,unknown,unknown
P58871,unknown,unknown
P59016,unknown,unknown
P59017,MITO_1,MITO_1
P59041,unknown,unknown
P59266,unknown,unknown
P59325,unknown,unknown
P59383,CM_1,CM_1
P59481,unknown,unknown
P59672,unknown,unknown
P59708,unknown,unknown
P59729,unknown,unknown
P59808,unknown,unknown
P59913,unknown,unknown
P59999,unknown,unknown
P60060,unknown,unknown
P60122,unknown,unknown
P60229,unknown,unknown
